"addr1";"addr2";"areacode";"booktour";"cat1";"cat2";"cat3";"contentid";"contenttypeid";"createdtime";"firstimage";"firstimage2";"cpyrhtDivCd";"mapx";"mapy";"mlevel";"modifiedtime";"sigungucode";"tel";"title";"zipcode";"visitNo"
"산청군 삼장면 평촌유평로 453";"";"36";"0";"A02";"A0201";"A02010800";"126183";"12";"20040202090000";"http://tong.visitkorea.or.kr/cms/resource/42/793142_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/42/793142_image3_1.jpg";"Type3";"127.8064933056";"35.3554028007";"6";"20230530130533";"9";"";"대원사(산청)";"52232";0
"울주군 상북면 석남로 557";"";"7";"0";"A02";"A0201";"A02010800";"126184";"12";"20021021090000";"http://tong.visitkorea.or.kr/cms/resource/60/3077960_image2_1.bmp";"http://tong.visitkorea.or.kr/cms/resource/60/3077960_image3_1.bmp";"Type3";"129.0324006938";"35.6211173075";"6";"20240325133340";"5";"";"석남사(울산)";"44901";0
"고령군 대가야로 1203 대가야박물관";"";"35";"0";"A02";"A0201";"A02010700";"126191";"12";"20040212090000";"http://tong.visitkorea.or.kr/cms/resource/66/2493166_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/66/2493166_image2_1.jpg";"Type3";"128.2585881041";"35.7220083530";"6";"20230616105545";"3";"";"고령 대가야유적지";"40138";0
"사천시 용현면 선진리";"770 일원";"36";"0";"A02";"A0201";"A02010200";"126197";"12";"20040202090000";"http://tong.visitkorea.or.kr/cms/resource/69/2603369_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/69/2603369_image3_1.jpg";"Type3";"128.0411086497";"35.0437198028";"6";"20231025140405";"8";"";"사천선진리왜성";"52537";0
"경주시 충효2길 44-7";"";"35";"1";"A02";"A0201";"A02010700";"126203";"12";"20040212090000";"http://tong.visitkorea.or.kr/cms/resource/41/3028641_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/41/3028641_image3_1.jpg";"Type3";"129.1923886866";"35.8453311317";"6";"20231117150411";"2";"";"경주 김유신묘";"38058";0
"밀양시 중앙로 324";"(내일동)";"36";"0";"A02";"A0201";"A02010700";"126206";"12";"20040130090000";"http://tong.visitkorea.or.kr/cms/resource/85/2589485_image2_1.bmp";"http://tong.visitkorea.or.kr/cms/resource/85/2589485_image2_1.bmp";"Type3";"128.7551396716";"35.4915656533";"6";"20240124100041";"7";"";"밀양 영남루";"50431";0
"경주시 첨성로 140-25";"";"35";"1";"A02";"A0201";"A02010700";"126207";"12";"20040212090000";"http://tong.visitkorea.or.kr/cms/resource/00/2656600_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/00/2656600_image3_1.jpg";"Type3";"129.2185644826";"35.8343745291";"6";"20240315110915";"2";"";"경주 첨성대";"38170";0
"경주시 노서동";"";"35";"0";"A02";"A0201";"A02010700";"126209";"12";"20020513090000";"http://tong.visitkorea.or.kr/cms/resource/52/182752_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/52/182752_image3_1.jpg";"Type3";"129.2098206119";"35.8411402671";"6";"20231205162146";"2";"";"금관총";"38158";0
"경주시 보문동";"산 79-2";"35";"0";"A02";"A0201";"A02010700";"126211";"12";"20040212090000";"http://tong.visitkorea.or.kr/cms/resource/39/3028739_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/39/3028739_image3_1.jpg";"Type3";"129.2427182250";"35.8237206325";"6";"20231117150821";"2";"";"경주 선덕여왕릉";"38175";0
"거제시 남부면 갈곶리";"";"36";"0";"A01";"A0101";"A01011300";"126224";"12";"20031027090000";"http://tong.visitkorea.or.kr/cms/resource/89/2612889_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/89/2612889_image3_1.jpg";"Type3";"128.6839246455";"34.7333354513";"6";"20240311142837";"1";"";"거제도 해금강";"53334";0
"사천시 굴항길 99";"(대방동)";"36";"0";"A02";"A0201";"A02010700";"126225";"12";"20040202090000";"http://tong.visitkorea.or.kr/cms/resource/71/2431671_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/71/2431671_image3_1.jpg";"Type3";"128.0564575091";"34.9293829022";"6";"20230503125606";"8";"";"대방진굴항";"52555";0
"경주시 신평동";"";"35";"0";"A02";"A0202";"A02020200";"126230";"12";"20031112090000";"http://tong.visitkorea.or.kr/cms/resource/07/2648907_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/07/2648907_image3_1.jpg";"Type3";"129.2869804444";"35.8437108802";"6";"20240308133302";"2";"";"경주 보문관광단지";"38117";0
"정읍시 내장호반로 328";"";"37";"1";"A01";"A0101";"A01010100";"126237";"12";"202401181743";"http://tong.visitkorea.or.kr/cms/resource/25/2616825_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/25/2616825_image3_1.jpg";"Type3";"126.8985701810";"35.4868694129";"6";"20240118174312";"13";"";"내장산국립공원";"56199";0
"부안군 변산면 방파제길 11";"";"37";"1";"A01";"A0101";"A01010100";"126239";"12";"202401181743";"http://tong.visitkorea.or.kr/cms/resource/35/2392335_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/35/2392335_image3_1.jpg";"Type3";"126.5797696087";"35.6418575196";"6";"20240118174312";"6";"";"변산반도국립공원";"56337";0
"영광군 불갑면 불갑사로 450";"";"38";"0";"A01";"A0101";"A01010200";"126248";"12";"20030122090000";"http://tong.visitkorea.or.kr/cms/resource/67/195267_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/67/195267_image3_1.jpg";"Type3";"126.5494666677";"35.2007737156";"6";"20231204152454";"16";"061-350-5804 (공원녹지과)";"불갑산도립공원";"57058";0
"고창군 아산면 선운사로 250";"";"37";"0";"A01";"A0101";"A01010900";"126262";"12";"20030923090000";"http://tong.visitkorea.or.kr/cms/resource/00/3018300_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/00/3018300_image3_1.jpg";"Type1";"126.5795288199";"35.4976850110";"6";"20240118095927";"1";"063-563-3450";"도솔계곡(선운산)";"56452";0
"남원시 주천면 구룡폭포길";"";"37";"0";"A01";"A0101";"A01010900";"126264";"12";"202401181743";"http://tong.visitkorea.or.kr/cms/resource/00/529600_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/00/529600_image3_1.jpg";"Type3";"127.4810627064";"35.3922568235";"6";"20240118174312";"4";"";"구룡계곡";"55720";0
"순천시 승주읍 죽학리";"";"38";"0";"A01";"A0101";"A01010900";"126267";"12";"20030925090000";"http://tong.visitkorea.or.kr/cms/resource/59/193259_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/59/193259_image3_1.jpg";"Type3";"127.3414158254";"34.9923189536";"6";"20231215100115";"11";"";"선암사계곡";"57909";0
"남원시 산내면 지리산로";"";"37";"0";"A01";"A0101";"A01010900";"126268";"12";"202401181743";"http://tong.visitkorea.or.kr/cms/resource/14/3067914_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/14/3067914_image3_1.jpg";"Type3";"127.5759326655";"35.3709025582";"6";"20240118174312";"4";"";"달궁계곡";"55805";0
"해남군 송지면 사구미길 20";"";"38";"0";"A01";"A0101";"A01011200";"126272";"12";"20030707090000";"http://tong.visitkorea.or.kr/cms/resource/88/1565488_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/88/1565488_image3_1.jpg";"Type3";"126.5791631257";"34.3208787542";"6";"20230503105712";"23";"";"사구미해변";"59066";0
"진도군 고군면 신비의바닷길 47";"(고군면)";"38";"0";"A01";"A0101";"A01011200";"126273";"12";"20031107090000";"http://tong.visitkorea.or.kr/cms/resource/36/3079736_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/36/3079736_image3_1.jpg";"Type3";"126.3547412438";"34.4354594945";"6";"20240110114813";"21";"";"가계해수욕장";"58911";0
"진도군 의신면 금갑길 206-6";"";"38";"0";"A01";"A0101";"A01011200";"126274";"12";"20031107090000";"http://tong.visitkorea.or.kr/cms/resource/30/1608030_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/30/1608030_image3_1.jpg";"Type3";"126.2773517639";"34.3957932468";"6";"20231208181947";"21";"";"금갑해변";"58939";0
"부안군 변산면 변산로 3210-16";"";"37";"0";"A01";"A0101";"A01011200";"126278";"12";"202401181743";"http://tong.visitkorea.or.kr/cms/resource/06/3067106_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/06/3067106_image3_1.jpg";"Type3";"126.4822571170";"35.6007494449";"6";"20240118174312";"6";"";"상록해수욕장";"56340";0
"여수시 삼산면 거문길 103";"";"38";"0";"A01";"A0101";"A01011300";"126283";"12";"20031216090000";"http://tong.visitkorea.or.kr/cms/resource/49/3027249_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/49/3027249_image3_1.jpg";"Type3";"127.3089480580";"34.0274901869";"6";"20231027185235";"13";"";"거문도";"59790";0
"고창군 해리면 동호리";"";"37";"0";"A01";"A0101";"A01011200";"126286";"12";"202401181743";"http://tong.visitkorea.or.kr/cms/resource/70/2023670_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/70/2023670_image3_1.jpg";"Type3";"126.4845145428";"35.5181949778";"6";"20240118174312";"1";"";"동호해수욕장";"56406";0
"영광군 홍농읍 가마미로 355";"";"38";"0";"A01";"A0101";"A01011200";"126289";"12";"20030707090000";"http://tong.visitkorea.or.kr/cms/resource/63/3018763_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/63/3018763_image3_1.jpg";"Type3";"126.4090769892";"35.3997293920";"6";"20231010121433";"16";"";"가마미해수욕장";"57000";0
"고창군 상하면 자룡리";"";"37";"0";"A01";"A0101";"A01011200";"126290";"12";"20030919090000";"http://tong.visitkorea.or.kr/cms/resource/75/2513775_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/75/2513775_image2_1.jpg";"Type3";"126.4362984068";"35.4463884377";"6";"20240118104150";"1";"";"구시포해수욕장";"56408";0
"전주시 덕진구 권삼득로 390";"";"37";"0";"A02";"A0202";"A02020700";"126320";"12";"20031105090000";"http://tong.visitkorea.or.kr/cms/resource/93/2366393_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/93/2366393_image3_1.jpg";"Type3";"127.1218687977";"35.8475156135";"6";"20240419161928";"12";"";"덕진공원";"54895";0
"담양군 금성면 금성산성길";"";"38";"0";"A01";"A0101";"A01011700";"126323";"12";"20021118090000";"http://tong.visitkorea.or.kr/cms/resource/86/2013986_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/86/2013986_image3_1.jpg";"Type3";"127.0118601360";"35.3776476077";"6";"20230817142348";"7";"";"담양호";"57301";0
"남구 사직길 49";"(사동)";"5";"0";"A02";"A0202";"A02020700";"126325";"12";"20031223090000";"http://tong.visitkorea.or.kr/cms/resource/67/1587467_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/67/1587467_image3_1.jpg";"Type3";"126.9121749221";"35.1413559608";"6";"20240308104141";"2";"";"사직공원(광주)";"61638";0
"나주시 다도면 방산리";"";"38";"0";"A01";"A0101";"A01011700";"126327";"12";"20020430090000";"http://tong.visitkorea.or.kr/cms/resource/86/3060686_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/86/3060686_image3_1.jpg";"Type3";"126.8636284818";"34.9474131270";"6";"20231206140539";"6";"";"나주호";"58231";0
"순창군 구림면 안심길 103-134";"";"37";"0";"A02";"A0201";"A02010800";"126336";"12";"20031112090000";"http://tong.visitkorea.or.kr/cms/resource/91/1839691_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/91/1839691_image3_1.jpg";"Type3";"127.1175924451";"35.4858371666";"6";"20240124121246";"7";"";"만일사(순창)";"56011";0
"완주군 용진읍 봉서안길 313";"";"37";"0";"A02";"A0201";"A02010800";"126338";"12";"20031114090000";"http://tong.visitkorea.or.kr/cms/resource/77/2710677_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/77/2710677_image2_1.jpg";"Type3";"127.2191390850";"35.9087325597";"6";"20240118105040";"8";"";"봉서사(완주)";"55349";0
"장성군 북하면 백양로 1239";"(북하면)";"38";"0";"A02";"A0201";"A02010800";"126341";"12";"20040203090000";"http://tong.visitkorea.or.kr/cms/resource/09/2516009_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/09/2516009_image2_1.jpg";"Type3";"126.8828255458";"35.4400716726";"6";"20240123134428";"19";"";"백양사";"57205";0
"진안군 마령면 마이산남로 217";"(마령면)";"37";"0";"A02";"A0201";"A02010800";"126344";"12";"202401181743";"http://tong.visitkorea.or.kr/cms/resource/75/1605775_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/75/1605775_image3_1.jpg";"Type3";"127.3974855339";"35.7580472554";"6";"20240118174312";"14";"";"금당사(진안)";"55450";0
"김제시 금산면 청도6길 40";"(금산면)";"37";"0";"A02";"A0201";"A02010800";"126345";"12";"202401181743";"http://tong.visitkorea.or.kr/cms/resource/91/3045391_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/91/3045391_image3_1.jpg";"Type3";"127.0470225669";"35.7453148338";"6";"20240118174312";"3";"";"귀신사(김제)";"54343";0
"부안군 상서면 개암로 248";"";"37";"0";"A02";"A0201";"A02010800";"126346";"12";"202401181743";"http://tong.visitkorea.or.kr/cms/resource/85/1604185_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/85/1604185_image3_1.jpg";"Type3";"126.6498267208";"35.6628507594";"6";"20240118174312";"6";"";"개암사";"56336";0
"순창군 팔덕면 강천산길 270";"";"37";"0";"A02";"A0201";"A02010800";"126347";"12";"202401181743";"http://tong.visitkorea.or.kr/cms/resource/60/1954560_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/60/1954560_image3_1.jpg";"Type3";"127.0555668463";"35.3984154482";"6";"20240118174312";"7";"";"강천사(순창)";"56020";0
"부안군 내소사로 191 내소사매표소";"";"37";"0";"A02";"A0201";"A02010800";"126352";"12";"202401181743";"http://tong.visitkorea.or.kr/cms/resource/36/2678636_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/36/2678636_image3_1.jpg";"Type3";"126.5894667158";"35.6122277197";"6";"20240118174312";"6";"";"내소사(부안)";"56344";0
"강진군 성전면 무위사로 308";"";"38";"0";"A02";"A0201";"A02010800";"126357";"12";"20021009090000";"http://tong.visitkorea.or.kr/cms/resource/60/1606660_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/60/1606660_image3_1.jpg";"Type3";"126.6847659578";"34.7418943841";"6";"20230519154916";"1";"";"무위사";"59201";0
"무주군 설천면 백련사길 580";"";"37";"0";"A02";"A0201";"A02010800";"126360";"12";"202401181743";"http://tong.visitkorea.or.kr/cms/resource/35/1248135_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/35/1248135_image3_1.jpg";"Type3";"127.7665945072";"35.8606393491";"6";"20240118174312";"5";"";"백련사(무주)";"55557";0
"남원시 운봉읍 가산화수길 84";"";"37";"0";"A02";"A0205";"A02050200";"126382";"12";"20020514090000";"http://tong.visitkorea.or.kr/cms/resource/76/1604076_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/76/1604076_image3_1.jpg";"Type3";"127.5617372032";"35.4579285861";"6";"20240118095752";"4";"";"남원 황산대첩비지";"55717";0
"고창군 고창읍 동리로 100";"(고창읍)";"37";"0";"A02";"A0201";"A02010400";"126391";"12";"20020607090000";"http://tong.visitkorea.or.kr/cms/resource/08/2625708_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/08/2625708_image2_1.jpg";"Type3";"126.7030639278";"35.4322000769";"6";"20240118101930";"1";"";"고창신재효고택";"56440";0
"부안군 보안면 유천리";"";"37";"0";"A02";"A0201";"A02010700";"126395";"12";"20020506090000";"http://tong.visitkorea.or.kr/cms/resource/13/2515013_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/13/2515013_image2_1.jpg";"Type3";"126.6534804034";"35.6143702230";"6";"20240118103939";"6";"";"부안 유천리 요지";"56330";0
"고창군 고창읍 모양성로 1";"";"37";"0";"A02";"A0201";"A02010200";"126398";"12";"20031210090000";"http://tong.visitkorea.or.kr/cms/resource/43/2723743_image2_1.png";"http://tong.visitkorea.or.kr/cms/resource/43/2723743_image2_1.png";"Type3";"126.7044055224";"35.4303280891";"6";"20240326130908";"1";"";"고창읍성";"56440";0
"나주시 반남면";"";"38";"0";"A02";"A0201";"A02010700";"126406";"12";"20020514090000";"http://tong.visitkorea.or.kr/cms/resource/41/3053741_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/41/3053741_image3_1.jpg";"Type3";"126.6472234506";"34.9121162677";"6";"20231206145027";"6";"";"나주 반남 고분군";"58301";0
"장수군 장수읍 논개사당길 41";"";"37";"0";"A02";"A0201";"A02010700";"126408";"12";"202401181743";"http://tong.visitkorea.or.kr/cms/resource/56/798156_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/56/798156_image3_1.jpg";"Type3";"127.5228440978";"35.6437929727";"6";"20240118174312";"11";"";"논개사당(의암사)";"55636";0
"남원시 만복사길 10-5 (왕정동)";"";"37";"0";"A02";"A0201";"A02010800";"126409";"12";"20031112090000";"http://tong.visitkorea.or.kr/cms/resource/40/219440_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/40/219440_image3_1.jpg";"Type3";"127.3679806319";"35.4076197879";"6";"20240118112500";"4";"";"남원 만복사지";"55746";0
"남원시 향교길 43";"";"37";"0";"A02";"A0201";"A02010700";"126410";"12";"202401181743";"http://tong.visitkorea.or.kr/cms/resource/07/1604107_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/07/1604107_image3_1.jpg";"Type3";"127.3830011522";"35.4220656371";"6";"20240118174312";"4";"";"남원향교";"55728";0
"나주시 금성관길 8";"";"38";"0";"A02";"A0201";"A02010100";"126412";"12";"20020506090000";"http://tong.visitkorea.or.kr/cms/resource/89/2515589_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/89/2515589_image2_1.jpg";"Type3";"126.7165671197";"35.0333954147";"6";"20231006165843";"6";"";"나주 금성관";"58257";0
"영광군 불갑면 강항로 101";"";"38";"0";"A02";"A0201";"A02010700";"126415";"12";"20030122090000";"http://tong.visitkorea.or.kr/cms/resource/44/1954544_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/44/1954544_image3_1.jpg";"Type3";"126.5172247764";"35.2131856640";"6";"20231204155900";"16";"";"내산서원";"57059";0
"동구 예술길 24";"";"5";"0";"A02";"A0203";"A02030600";"126429";"12";"20020419090000";"http://tong.visitkorea.or.kr/cms/resource/60/2364360_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/60/2364360_image3_1.jpg";"Type3";"126.9186491379";"35.1498078933";"6";"20240311164722";"3";"";"광주 예술의 거리";"61475";0
"남원시 양림길 43";"(어현동)";"37";"0";"A02";"A0202";"A02020200";"126431";"12";"20040131090000";"http://tong.visitkorea.or.kr/cms/resource/57/1604057_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/57/1604057_image3_1.jpg";"Type3";"127.3901038165";"35.4022068955";"6";"20240124110141";"4";"";"남원관광단지";"55795";0
"해남군 송지면 땅끝마을길 60-28";"";"38";"0";"A02";"A0202";"A02020200";"126432";"12";"20031201090000";"http://tong.visitkorea.or.kr/cms/resource/36/2367436_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/36/2367436_image3_1.jpg";"Type3";"126.5266488294";"34.2980165668";"6";"20230927094613";"23";"";"땅끝관광지";"59065";0
"제주시 사라봉동길 74";"";"39";"0";"A02";"A0202";"A02020700";"126454";"12";"20031111090000";"http://tong.visitkorea.or.kr/cms/resource/84/3026884_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/84/3026884_image3_1.jpg";"Type3";"126.5460485461";"33.5180620158";"6";"20231027170318";"4";"";"사라봉공원";"63284";0
"서귀포시 안덕면 산방로 218-12";"";"39";"0";"A02";"A0201";"A02010800";"126457";"12";"20021008090000";"http://tong.visitkorea.or.kr/cms/resource/39/1036539_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/39/1036539_image3_1.jpg";"Type3";"126.3133472902";"33.2372560486";"6";"20231110100321";"3";"";"산방굴사(제주)";"63528";0
"제주시 건입동";"1427-13";"39";"0";"A02";"A0201";"A02010700";"126459";"12";"20021213090000";"http://tong.visitkorea.or.kr/cms/resource/91/1618591_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/91/1618591_image3_1.jpg";"Type3";"126.5455208585";"33.5161427755";"6";"20231205174445";"4";"";"모충사";"63307";0
"제주시 관덕로 19";"(삼도이동)";"39";"0";"A02";"A0201";"A02010100";"126460";"12";"20021213090000";"http://tong.visitkorea.or.kr/cms/resource/75/2513575_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/75/2513575_image2_1.jpg";"Type3";"126.5219701925";"33.5132954930";"6";"20231208145246";"4";"";"관덕정(제주)";"63166";0
"제주시 516로 3041-24";"(아라일동)";"39";"0";"A01";"A0102";"A01020100";"126461";"12";"20021213090000";"http://tong.visitkorea.or.kr/cms/resource/26/1618526_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/26/1618526_image3_1.jpg";"Type3";"126.5547604989";"33.4476699442";"6";"20231209145836";"4";"";"산천단곰솔";"63244";0
"제주시 오라이동";"39-1";"39";"0";"A01";"A0101";"A01010900";"126468";"12";"20031114090000";"http://tong.visitkorea.or.kr/cms/resource/02/1802002_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/02/1802002_image3_1.jpg";"Type3";"126.5169053039";"33.4542936092";"6";"20230405094500";"4";"064-728-2742";"방선문";"63147";0
"제주시 구좌읍 비자숲길 55";"";"39";"0";"A01";"A0101";"A01010700";"126472";"12";"20040226090000";"http://tong.visitkorea.or.kr/cms/resource/66/2668266_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/66/2668266_image3_1.jpg";"Type3";"126.8074904603";"33.4862530625";"6";"20230829154118";"4";"";"비자림";"63351";0
"도봉구 도봉동";"";"1";"0";"A01";"A0101";"A01010400";"126481";"12";"20030929090000";"http://tong.visitkorea.or.kr/cms/resource/65/1894465_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/65/1894465_image3_1.jpg";"Type3";"127.0184192271";"37.6969870145";"6";"20231122111100";"10";"";"도봉산";"01318";0
"노원구 덕릉로130가길 22";"";"1";"0";"A01";"A0101";"A01010400";"126482";"12";"20040227090000";"http://tong.visitkorea.or.kr/cms/resource/86/739086_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/86/739086_image3_1.jpg";"Type3";"127.0882468880";"37.6725633390";"6";"20230512104101";"9";"";"불암산";"01642";0
"강남구 도산대로45길 20";"";"1";"0";"A01";"A0101";"A01010500";"126486";"12";"20031105090000";"http://tong.visitkorea.or.kr/cms/resource/60/2678560_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/60/2678560_image3_1.jpg";"Type3";"127.0338117034";"37.5214632538";"6";"20230824102520";"1";"";"도산공원";"06020";0
"성북구 개운사길 73";"";"1";"0";"A02";"A0201";"A02010800";"126501";"12";"20041230090000";"http://tong.visitkorea.or.kr/cms/resource/26/2690626_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/26/2690626_image3_1.jpg";"Type3";"127.0280213987";"37.5899857439";"6";"20230610060046";"17";"";"개운사(서울)";"02842";0
"서대문구 봉원사길 120";"(봉원동)";"1";"0";"A02";"A0201";"A02010800";"126503";"12";"20041230090000";"http://tong.visitkorea.or.kr/cms/resource/05/2017905_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/05/2017905_image3_1.jpg";"Type3";"126.9469959488";"37.5723974448";"6";"20231006135234";"14";"";"봉원사(서울)";"03721";0
"종로구 사직로 161";"";"1";"1";"A02";"A0201";"A02010100";"126508";"12";"20041230090000";"http://tong.visitkorea.or.kr/cms/resource/33/2678633_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/33/2678633_image3_1.jpg";"Type3";"126.9769930325";"37.5788222356";"6";"20240417160136";"23";"";"경복궁";"03045";5579905
"종로구 사직로 161";"";"1";"1";"A02";"A0201";"A02010300";"126512";"12";"20031027090000";"http://tong.visitkorea.or.kr/cms/resource/72/3069472_image2_1.JPG";"http://tong.visitkorea.or.kr/cms/resource/72/3069472_image3_1.JPG";"Type3";"126.9768042386";"37.5760725520";"6";"20240417181643";"23";"";"광화문";"03045";0
"강동구 올림픽로 875";"(암사동)";"1";"1";"A02";"A0201";"A02010700";"126519";"12";"20040227090000";"http://tong.visitkorea.or.kr/cms/resource/19/204019_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/19/204019_image3_1.jpg";"Type3";"127.1309239757";"37.5605132450";"6";"20231204165246";"2";"";"서울 암사동 유적";"05239";0
"송파구 풍납동";"";"1";"0";"A02";"A0201";"A02010200";"126520";"12";"20020402090000";"http://tong.visitkorea.or.kr/cms/resource/13/566413_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/13/566413_image3_1.jpg";"Type3";"127.1209255392";"37.5375629524";"6";"20230413021328";"18";"";"서울 풍납동 토성";"05512";0
"종로구 난계로27길 84";"";"1";"0";"A02";"A0201";"A02010700";"126522";"12";"20041230090000";"http://tong.visitkorea.or.kr/cms/resource/92/1984692_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/92/1984692_image3_1.jpg";"Type3";"127.0184394274";"37.5727625733";"6";"20231208121239";"23";"";"서울 동관왕묘";"03115";0
"용산구 이촌로 80-8";"";"1";"0";"A02";"A0201";"A02010900";"126529";"12";"20041230090000";"http://tong.visitkorea.or.kr/cms/resource/21/1985221_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/21/1985221_image3_1.jpg";"Type3";"126.9567186255";"37.5249586869";"6";"20231206180258";"21";"";"새남터기념성당";"04374";0
"종로구 대학로 104";"(동숭동)";"1";"0";"A02";"A0203";"A02030600";"126534";"12";"20020419090000";"http://tong.visitkorea.or.kr/cms/resource/86/1554786_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/86/1554786_image3_1.jpg";"Type3";"127.0022045820";"37.5802919622";"6";"20230610054020";"23";"";"대학로";"03087";0
"종로구 계동길 37";"(계동)";"1";"0";"A02";"A0201";"A02010600";"126537";"12";"20021120090000";"http://tong.visitkorea.or.kr/cms/resource/06/2512006_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/06/2512006_image3_1.jpg";"Type3";"126.9864254967";"37.5791612548";"6";"20240308150343";"23";"";"북촌한옥마을";"03059";0
"남양주시 진접읍 봉선사길 32";"(진접읍)";"31";"0";"A02";"A0201";"A02010800";"126539";"12";"20031128090000";"http://tong.visitkorea.or.kr/cms/resource/84/2678584_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/84/2678584_image3_1.jpg";"Type3";"127.1837471484";"37.7471036189";"6";"20230719134656";"9";"";"봉선사(경기)";"12001";0
"화천군 사내면 포화로 653-76";"";"32";"";"B02";"B0201";"B02010700";"1265425";"32";"20110427215649";"http://tong.visitkorea.or.kr/cms/resource/59/1849259_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/59/1849259_image3_1.jpg";"Type3";"127.4869317944";"38.0850420234";"6";"20230907101120";"17";"033-441-6066";"마음이머무는곳";"24150";0
"양주시 유양동";"일원";"31";"0";"A01";"A0101";"A01010400";"126545";"12";"20061220090000";"http://tong.visitkorea.or.kr/cms/resource/23/3067723_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/23/3067723_image2_1.jpg";"Type3";"127.0288986934";"37.7986448111";"6";"20231213151355";"18";"031-8082-6220";"불곡산";"11498";0
